"","V1"
"484","環境調查實習(二)"
"485","爵士樂賞析"
"486","運動與健康"
"487","基督教信仰與婚姻觀"
"488","服務學習導論"
"489","音樂創作新思維"
"490","商用日文 (二)"
"491","壓力管理"
"492","生命敘事倫理"
"493","個體經濟學(二)"
"494","職場工作實務"
"495","會計時事議題研討(一)"
"496","租稅申報實務"
"497","管理心理學"
"498","會計應用軟體"
"499","聖經與倫理議題"
"500","記帳士法與相關法規"
"501","財務管理"
"502","投資學"
"503","租稅規劃"
"504","資料分析應用-R"
"505","資訊安全管理"
"506","廣告創意行銷"
"507","中國美術史"
"508","IOS應用程式開發"
"509","決策支援與商業智慧"
"510","全球資訊系統策略"
"511","音樂基礎訓練"
"512","消費稅法"
"513","工藝與生活美學"
"514","總體經濟學"
"515","金融科技"
"516","證券與金融法規"
"517","資優教育模式"
"518","特殊教育見習二B"
"519","中醫與保健"
"520","幼兒行為觀察"
"521","設計倫理"
"522","句法學"
"523","創業模擬經營實務"
"524","媒體英語"
"525","英語檢定技巧"
"526","生命倫理學"
"527","數位聲音後製概論"
"528","觀光筆譯"
"529","當代管理學"
"530","初級韓語"
"531","自然科學與當代世界"
"532","數學發展史"
"533","專題研究(二)"
"534","物理與生活科技"
"535","物理講座"
"536","科學與信仰"
"537","科技產業講座"
"538","計算物理"
"539","憲法與政府"
"540","團體輔導實務"
"541","家庭發展"
"542","行為治療原理"
"543","現代精神醫學與心理學"
"544","正念訓練的基礎實作"
"545","動力取向精神醫學"
"546","生涯輔導"
"547","變態心理學"
"548","諮商理論與技術"
"549","災難與創傷心理學"
"550","保健食品概論"
"551","發育生物學"
"552","布袋戲與台灣文化"
"553","宗教音樂賞析"
"554","防災科技與生活"
"555","薄膜高分子工程"
"556","國防軍訓-防衛動員"
"557","實務數據分析及應用"
"558","搖滾年代"
"559","原住民藝術與當代對話"
"560","應用力學"
"561","運動經絡按摩"
"562","超級英雄的物理學"
"563","機器人專題 (一)"
"564","近代物理"
"565","物聯網創意設計(一)"
"566","認識星空"
"567","運動與營養"
"568","哲學與人生"
"569","愛情與親密關係"
"570","黃春明小說導讀"
"571","器樂演奏(一)"
"572","老屋活化與創意經營"
"573","個人投資理財"
"574","專業閱讀與討論"
"575","哲學與思考"
"576","中國園林藝術實習"
"577","創新服務與社會企業"
"578","網際網路與電子商務"
"579","VBA程式設計"
"580","民刑法與公民社會"
"581","PHP程式設計"
"582","樹莓派資料分析"
"583","自主學習專題"
"584","跨文化交流"
"585","企業倫理"
"586","電子商務概論 "
"587","商用西班牙語(二)"
"588","商業軟體應用"
"589","全球化職涯發展實務"
"590","政府採購法"
